Country,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Afghanistan,AFG,8996967,9744772,10637064,11791222,12943093,13356500,12204306,11618008,14485543,18853444,20779957,24726689,27722281,31161378,35383028,38928341
Africa Eastern and Southern,AFE,130836765,144920186,161156430,180141148,202205766,227305945,255530063,287524258,322270073,358953595,398113044,441630149,491173160,547482863,609978946,677243299
Africa Western and Central,AFW,96396419,104953470,114781116,126218502,139813171,155882270,173991851,194070079,215976366,240114179,267214544,297353098,331772330,370243017,412551299,458803476
Albania,ALB,1608800,1814135,2022272,2243126,2458526,2671997,2904429,3142336,3247039,3168033,3089027,3026939,2947314,2900401,2876101,2837743
Algeria,DZA,11057864,12221675,13663581,15285992,17085799,19221659,21763578,24443472,27028330,29266415,31042238,32692153,34730604,37383899,40551398,43851043
American Samoa,ASM,20127,22850,25980,28564,30455,32648,37946,44346,49900,54209,57816,59684,57490,55669,55739,55197
Andorra,AND,13410,17466,21886,26885,31782,36063,42706,50433,58882,64363,65390,76250,83860,82427,77295,77265
Angola,AGO,5454938,5734995,5771973,6248965,7279630,8341290,9614756,11068051,12657361,14400722,16395477,18758138,21695636,25107925,28842482,32866268
Antigua and Barbuda,ATG,54132,57641,62523,64134,62353,61861,61784,61758,64459,70176,76007,80347,85394,90407,94520,97928
Arab World,ARB,92197715,102832792,115136161,128598743,144453278,164420771,186035280,208889669,232956364,259000937,282344141,307862846,338395936,371437642,404042892,436080728
Argentina,ARG,20481781,21824427,23168268,24653172,26264681,27896532,29737097,31668939,33529320,35246376,36870796,38491970,40080159,41733271,43590368,45376763
Armenia,ARM,1874119,2145004,2401142,2650484,2889583,3099759,3285593,3504667,3442820,3168213,3069597,3000715,2907615,2884239,2936147,2963234
Aruba,ABW,54208,57029,58377,59849,60586,60097,62826,61072,68240,83211,90866,98744,101362,102565,104865,106766
Australia,AUS,10276477,11167000,12009000,13177000,14033000,14692000,15544000,16532200,17495000,18311000,19153000,20127400,21249200,22733465,24190907,25687041
Austria,AUT,7047539,7223801,7415403,7544201,7565525,7549433,7561434,7585317,7840709,7959017,8011566,8171966,8321496,8429991,8736668,8917205
Azerbaijan,AZE,3895398,4456691,4960237,5385266,5768730,6150735,6557581,7010027,7382000,7763000,8048600,8306500,8763400,9295784,9757812,10110116
"Bahamas, The",BHS,109532,133705,158648,177863,192903,210589,229913,247451,266028,283980,298045,318893,343680,363581,377923,393248
Bahrain,BHR,162429,182888,200652,229151,283746,359897,407233,465198,523082,578661,664610,829846,1114645,1299942,1425793,1701583
Bangladesh,BGD,48013505,53741721,60918452,66625706,71652386,79639498,88416529,98186350,107983708,117649927,127657862,136986429,144304164,151005733,157977151,164689383
