,,0
0,Country,Afghanistan
0,Country Code,AFG
0,1960,8996967
0,1964,9744772
0,1968,10637064
0,1972,11791222
0,1976,12943093
0,1980,13356500
0,1984,12204306
0,1988,11618008
0,1992,14485543
0,1996,18853444
0,2000,20779957
0,2004,24726689
0,2008,27722281
0,2012,31161378
0,2016,35383028
0,2020,38928341
1,Country,Africa Eastern and Southern
1,Country Code,AFE
1,1960,130836765
1,1964,144920186
1,1968,161156430
1,1972,180141148
1,1976,202205766
1,1980,227305945
1,1984,255530063
1,1988,287524258
1,1992,322270073
1,1996,358953595
1,2000,398113044
1,2004,441630149
1,2008,491173160
1,2012,547482863
1,2016,609978946
1,2020,677243299
2,Country,Africa Western and Central
2,Country Code,AFW
2,1960,96396419
2,1964,104953470
2,1968,114781116
2,1972,126218502
2,1976,139813171
2,1980,155882270
2,1984,173991851
2,1988,194070079
2,1992,215976366
2,1996,240114179
2,2000,267214544
2,2004,297353098
2,2008,331772330
2,2012,370243017
2,2016,412551299
2,2020,458803476
3,Country,Albania
3,Country Code,ALB
3,1960,1608800
3,1964,1814135
3,1968,2022272
3,1972,2243126
3,1976,2458526
3,1980,2671997
3,1984,2904429
3,1988,3142336
3,1992,3247039
3,1996,3168033
3,2000,3089027
3,2004,3026939
3,2008,2947314
3,2012,2900401
3,2016,2876101
3,2020,2837743
4,Country,Algeria
4,Country Code,DZA
4,1960,11057864
4,1964,12221675
4,1968,13663581
4,1972,15285992
4,1976,17085799
4,1980,19221659
4,1984,21763578
4,1988,24443472
4,1992,27028330
4,1996,29266415
4,2000,31042238
4,2004,32692153
4,2008,34730604
4,2012,37383899
4,2016,40551398
4,2020,43851043
5,Country,American Samoa
5,Country Code,ASM
5,1960,20127
5,1964,22850
5,1968,25980
5,1972,28564
5,1976,30455
5,1980,32648
5,1984,37946
5,1988,44346
5,1992,49900
5,1996,54209
5,2000,57816
5,2004,59684
5,2008,57490
5,2012,55669
5,2016,55739
5,2020,55197
6,Country,Andorra
6,Country Code,AND
6,1960,13410
6,1964,17466
6,1968,21886
6,1972,26885
6,1976,31782
6,1980,36063
6,1984,42706
6,1988,50433
6,1992,58882
6,1996,64363
6,2000,65390
6,2004,76250
6,2008,83860
6,2012,82427
6,2016,77295
6,2020,77265
7,Country,Angola
7,Country Code,AGO
7,1960,5454938
7,1964,5734995
7,1968,5771973
7,1972,6248965
7,1976,7279630
7,1980,8341290
7,1984,9614756
7,1988,11068051
7,1992,12657361
7,1996,14400722
7,2000,16395477
7,2004,18758138
7,2008,21695636
7,2012,25107925
7,2016,28842482
7,2020,32866268
8,Country,Antigua and Barbuda
8,Country Code,ATG
8,1960,54132
8,1964,57641
8,1968,62523
8,1972,64134
8,1976,62353
8,1980,61861
8,1984,61784
8,1988,61758
8,1992,64459
8,1996,70176
8,2000,76007
8,2004,80347
8,2008,85394
8,2012,90407
8,2016,94520
8,2020,97928
9,Country,Arab World
9,Country Code,ARB
9,1960,92197715
9,1964,102832792
9,1968,115136161
9,1972,128598743
