Year	Continent	Medal_count	Country_count	Medal_per_country	Ranking
1960	Asia	4	1	4	6
1960	Africa	5	1	5	5
1960	Europe	241	12	20	2
1960	North America	25	1	25	1
1960	South America	6	1	6	4
1960	Oceania	10	1	10	3
1960	Others	0	0	0	7
1964	Asia	31	2	16	4
1964	Africa	36	2	18	3
1964	Europe	162	12	14	6
1964	North America	123	1	123	1
1964	South America	37	1	37	2
1964	Oceania	30	2	15	5
1964	Others	0	0	0	7
1968	Asia	74	4	19	4
1968	Africa	46	3	15	6
1968	Europe	261	15	17	5
1968	North America	123	3	41	1
1968	South America	30	1	30	2
1968	Oceania	42	2	21	3
1968	Others	0	0	0	7
1972	Asia	50	6	8	5
1972	Africa	54	5	11	4
1972	Europe	319	20	16	3
1972	North America	109	5	22	1
1972	South America	9	3	3	6
1972	Oceania	34	2	17	2
1972	Others	0	0	0	7
1976	Asia	104	6	17	4
1976	Africa	34	4	9	5
1976	Europe	691	18	38	2
1976	North America	272	5	54	1
1976	South America	18	5	4	6
1976	Oceania	54	3	18	3
1976	Others	0	0	0	7
1980	Asia	91	6	15	4
1980	Africa	30	5	6	5
1980	Europe	1009	21	48	2
1980	North America	389	5	78	1
1980	South America	17	3	6	6
1980	Oceania	74	2	37	3
1980	Others	0	0	0	7
1984	Asia	134	12	11	4
1984	Africa	13	3	4	6
1984	Europe	1749	25	70	2
1984	North America	677	7	97	1
1984	South America	28	4	7	5
1984	Oceania	179	3	60	3
1984	Others	0	0	0	7
1988	Asia	267	17	16	4
1988	Africa	15	4	4	6
1988	Europe	1316	26	51	3
1988	North America	457	8	57	1
1988	South America	36	3	12	5
1988	Oceania	112	2	56	2
1988	Others	0	0	0	7
1992	Asia	137	21	7	5
1992	Africa	33	11	3	6
1992	Europe	912	32	29	3
1992	North America	276	9	31	2
1992	South America	10	7	1	7
1992	Oceania	82	2	41	1
1992	Others	53	2	27	4
1996	Asia	156	25	6	4
1996	Africa	79	16	5	5
1996	Europe	930	42	22	3
1996	North America	253	10	25	2
1996	South America	32	8	4	6
1996	Oceania	124	3	41	1
1996	Others	0	0	0	7
2000	Asia	225	33	7	4
2000	Africa	101	20	5	5
2000	Europe	884	42	21	2
2000	North America	250	12	21	3
2000	South America	30	8	4	6
2000	Oceania	167	7	24	1
2000	Others	0	1	0	7
2004	Asia	315	36	9	4
2004	Africa	120	28	4	6
2004	Europe	771	42	18	2
2004	North America	209	15	14	3
2004	South America	42	9	5	5
2004	Oceania	111	5	22	1
2004	Others	0	0	0	7
2008	Asia	335	40	8	4
2008	Africa	107	30	4	6
2008	Europe	653	45	15	1
2008	North America	185	15	12	3
2008	South America	59	9	7	5
2008	Oceania	92	7	13	2
2008	Others	0	0	0	7
2012	Asia	344	41	8	4
2012	Africa	112	40	3	6
2012	Europe	742	47	16	1
2012	North America	168	19	9	3
2012	South America	53	9	6	5
2012	Oceania	103	8	13	2
2012	Others	0	0	0	7
2016	Asia	423	39	11	4
2016	Africa	99	43	2	6
2016	Europe	696	44	16	2
2016	North America	177	18	10	5
2016	South America	100	9	11	3
2016	Oceania	102	6	17	1
2016	Others	0	1	0	7
2020	Asia	414	38	11	5
2020	Africa	63	44	1	7
2020	Europe	703	44	16	3
2020	North America	156	20	8	6
2020	South America	122	10	12	4
2020	Oceania	92	4	23	2
2020	Others	118	2	59	1
